n	ops	comparisons	collisions	load_factor	inserts	removes	finds	groups_total	groups_mean	groups_stdev	groups_min	groups_max
4691	4691	7273	2582	0.597351	4691	0	0	4288	1.09398	2709.45	1	2
4692	4692	7276	2584	0.597479	4692	0	0	4289	1.09396	2710.03	1	2
4693	4693	7279	2586	0.597606	4693	0	0	4291	1.09368	2710.75	1	2
4694	4694	7283	2589	0.597733	4694	0	0	4292	1.09366	2711.31	1	2
4695	4695	7284	2589	0.597861	4695	0	0	4293	1.09364	2711.87	1	2
4696	4696	7288	2592	0.597988	4696	0	0	4295	1.09336	2712.76	1	2
4697	4697	7289	2592	0.598115	4697	0	0	4295	1.0936	2713.61	1	2
4698	4698	7294	2596	0.598243	4698	0	0	4296	1.09358	2714.19	1	2
4699	4699	7295	2596	0.59837	4699	0	0	4296	1.09381	2714.19	1	2
4700	4700	7299	2599	0.598497	4700	0	0	4297	1.09379	2714.74	1	2
4701	4701	7302	2601	0.598625	4701	0	0	4298	1.09376	2715.31	1	2
4702	4702	7304	2602	0.598752	4702	0	0	4298	1.094	2716.07	1	2
4703	4703	7311	2608	0.598879	4703	0	0	4298	1.09423	2716.73	1	2
4704	4704	7316	2612	0.599007	4704	0	0	4299	1.09421	2717.28	1	2
4705	4705	7318	2613	0.599134	4705	0	0	4300	1.09419	2717.9	1	2
4706	4706	7331	2625	0.599261	4706	0	0	4301	1.09416	2718.46	1	2
4707	4707	7335	2628	0.599389	4707	0	0	4301	1.0944	2719.27	1	2
4708	4708	7338	2630	0.599516	4708	0	0	4302	1.09437	2719.85	1	2
4709	4709	7339	2630	0.599643	4709	0	0	4303	1.09435	2720.43	1	2
4710	4710	7340	2630	0.599771	4710	0	0	4304	1.09433	2720.99	1	2
4711	4711	7342	2631	0.599898	4711	0	0	4304	1.09456	2721.4	1	2
4712	4712	7345	2633	0.600025	4712	0	0	4305	1.09454	2722	1	2
4713	4713	7347	2634	0.600153	4713	0	0	4306	1.09452	2722.55	1	2
4714	4714	7350	2636	0.60028	4714	0	0	4307	1.0945	2723.11	1	2
4715	4715	7355	2640	0.600407	4715	0	0	4308	1.09448	2723.66	1	2
4716	4716	7356	2640	0.600535	4716	0	0	4309	1.09445	2724.23	1	2
4717	4717	7357	2640	0.600662	4717	0	0	4310	1.09443	2724.81	1	2
4718	4718	7358	2640	0.600789	4718	0	0	4311	1.09441	2725.36	1	2
4719	4719	7359	2640	0.600917	4719	0	0	4312	1.09439	2725.91	1	2
4720	4720	7360	2640	0.601044	4720	0	0	4313	1.09437	2726.52	1	2
4721	4721	7363	2642	0.601172	4721	0	0	4314	1.09434	2727.14	1	2
4722	4722	7366	2644	0.601299	4722	0	0	4315	1.09432	2727.74	1	2
4723	4723	7370	2647	0.601426	4723	0	0	4316	1.0943	2728.29	1	2
4724	4724	7372	2648	0.601554	4724	0	0	4317	1.09428	2728.9	1	2
4725	4725	7373	2648	0.601681	4725	0	0	4318	1.09426	2729.52	1	2
4726	4726	7374	2648	0.601808	4726	0	0	4319	1.09423	2730.07	1	2
4727	4727	7375	2648	0.601936	4727	0	0	4320	1.09421	2730.66	1	2
4728	4728	7377	2649	0.602063	4728	0	0	4321	1.09419	2731.23	1	2
4729	4729	7378	2649	0.60219	4729	0	0	4322	1.09417	2731.79	1	2
4730	4730	7382	2652	0.602318	4730	0	0	4322	1.0944	2732.6	1	2
4731	4731	7383	2652	0.602445	4731	0	0	4323	1.09438	2733.2	1	2
4732	4732	7384	2652	0.602572	4732	0	0	4324	1.09436	2733.83	1	2
4733	4733	7387	2654	0.6027	4733	0	0	4324	1.09459	2734.41	1	2
4734	4734	7388	2654	0.602827	4734	0	0	4324	1.09482	2735.08	1	2
4735	4735	7394	2659	0.602954	4735	0	0	4325	1.0948	2735.64	1	2
4736	4736	7396	2660	0.603082	4736	0	0	4325	1.09503	2736.51	1	2
4737	4737	7397	2660	0.603209	4737	0	0	4326	1.09501	2737.06	1	2
4738	4738	7403	2665	0.603336	4738	0	0	4327	1.09499	2737.61	1	2
4739	4739	7404	2665	0.603464	4739	0	0	4328	1.09496	2738.18	1	2
4740	4740	7405	2665	0.603591	4740	0	0	4328	1.09519	2738.52	1	2
4741	4741	7410	2669	0.603718	4741	0	0	4329	1.09517	2739.08	1	2
4742	4742	7411	2669	0.603846	4742	0	0	4330	1.09515	2739.64	1	2
4743	4743	7413	2670	0.603973	4743	0	0	4330	1.09538	2740.49	1	2
4744	4744	7416	2672	0.6041	4744	0	0	4331	1.09536	2741.11	1	2
4745	4745	7420	2675	0.604228	4745	0	0	4332	1.09534	2741.67	1	2
4746	4746	7421	2675	0.604355	4746	0	0	4333	1.09531	2742.22	1	2
4747	4747	7425	2678	0.604482	4747	0	0	4334	1.09529	2742.81	1	2
4748	4748	7433	2685	0.60461	4748	0	0	4335	1.09527	2743.38	1	2
4749	4749	7438	2689	0.604737	4749	0	0	4336	1.09525	2743.93	1	2
4750	4750	7443	2693	0.604864	4750	0	0	4336	1.09548	2743.97	1	2
4751	4751	7445	2694	0.604992	4751	0	0	4337	1.09546	2744.57	1	2
4752	4752	7446	2694	0.605119	4752	0	0	4338	1.09544	2745.14	1	2
4753	4753	7447	2694	0.605246	4753	0	0	4339	1.09541	2745.71	1	2
4754	4754	7449	2695	0.605374	4754	0	0	4341	1.09514	2746.27	1	2
4755	4755	7450	2695	0.605501	4755	0	0	4342	1.09512	2746.83	1	2
4756	4756	7453	2697	0.605628	4756	0	0	4343	1.0951	2747.39	1	2
4757	4757	7454	2697	0.605756	4757	0	0	4344	1.09507	2747.97	1	2
4758	4758	7456	2698	0.605883	4758	0	0	4344	1.0953	2748.1	1	2
